direction,demo_sample,source_accent,target_accent,sample_group_id,source_id,source_speaker_id,utterance_id,transcript,phonos_item_id,phonos_checkpoint,phonos_target_ref_id,phonos_nisqa_mos,phonos_accent_prediction,phonos_target_probability_pct,demo_original_audio,demo_converted_audio,original_duration_sec,converted_duration_sec,original_sha256,converted_sha256
ame2bri,1,General American English,British English,ame2bri_S09,AME029,2086,2086-149220-0017,AH BUT THESE HENS ANSWERED THE YOUNG MAN THESE HENS OF ARISTOCRATIC LINEAGE WOULD SCORN TO UNDERSTAND THE VULGAR LANGUAGE OF A BARN YARD FOWL,ame2bri::AME029::r1_epoch13::slr83_southern_female_sof_03397,r1_epoch13,slr83_southern_female_sof_03397,4.7406073,british_isles,99.89894032478333,audio/ame2bri/sample_01_original.wav,audio/ame2bri/sample_01_phonos.wav,8.700,8.700,c1335f186faf81f3f2b582175cd773e510f2bbdf52f2f68d631e71232305c102,d779c353fe20af59b9ed0c9d4499ece2d5c893840a0250e677330f226eeca28d
ame2bri,2,General American English,British English,ame2bri_S03,AME008,5694,5694-64029-0007,I SOON FOUND OUT THAT HE HAD CAUGHT SIGHT OF THE RELIEF ON THE ROAD AND WAS AFRAID TO SHOOT I QUICKLY MADE UP MY MIND,ame2bri::AME008::r1_epoch13::slr83_southern_female_sof_03397,r1_epoch13,slr83_southern_female_sof_03397,4.707386,british_isles,98.32029342651369,audio/ame2bri/sample_02_original.wav,audio/ame2bri/sample_02_phonos.wav,6.585,6.600,7ba57c7f53560bacc99ae3cf19fcfefac8825f083b68464143a3acd09717fb60,75df48aa5ceb70abbd56711a0ca69204a1c24aa9ba6202e6d283febce7a43c18
ame2bri,3,General American English,British English,ame2bri_S04,AME009,1272,1272-141231-0026,BREATHING DEEPLY BRION SOFTLY SPOKE THE AUTO HYPNOTIC PHRASES THAT TRIGGERED THE PROCESS,ame2bri::AME009::r6_epoch05::slr83_southern_female_sof_03397,r6_epoch05,slr83_southern_female_sof_03397,4.7005243,british_isles,98.15370440483092,audio/ame2bri/sample_03_original.wav,audio/ame2bri/sample_03_phonos.wav,6.635,6.640,4a2ddfdfd71a7d3acbb0e520a9d5c6f0f55bc6bff814ffe147ae9175a98fb625,e673d8ae85af5d4a304f07c5ad2090217c34a6ca051bc197db9cf85f574368eb
ame2bri,4,General American English,British English,ame2bri_S06,AME012,1089,1089-134686-0025,A GENTLE KICK FROM THE TALL BOY IN THE BENCH BEHIND URGED STEPHEN TO ASK A DIFFICULT QUESTION,ame2bri::AME012::r1_epoch13::slr83_southern_male_som_08784,r1_epoch13,slr83_southern_male_som_08784,4.673462,british_isles,98.85241389274596,audio/ame2bri/sample_04_original.wav,audio/ame2bri/sample_04_phonos.wav,6.610,6.620,08844bfb979ce8240f332032a4b86bed89703dcdb0379087e9747db278eb60dd,5e64660be9edfc424f711515719ff7529a7e556c28443be2d3a1bff0e028a607
ame2bri,5,General American English,British English,ame2bri_S05,AME007,7729,7729-102255-0019,TO EMBARRASS THIS DAMAGING EXPOSURE JUDGE LECOMPTE ISSUED A WRIT AGAINST THE EX GOVERNOR ON A FRIVOLOUS CHARGE OF CONTEMPT,ame2bri::AME007::r1_epoch13::slr83_southern_female_sof_03397,r1_epoch13,slr83_southern_female_sof_03397,4.602579,british_isles,99.67650175094604,audio/ame2bri/sample_05_original.wav,audio/ame2bri/sample_05_phonos.wav,8.930,8.940,bf8183741a4e62deb5888a92dd43e8253ec311d0d1ae61506179988e82ae6a25,8cbe86d7d489e06a60a3a27d66b8da2bcd5c80359afedc48b31995307455964e
ame2ind,1,General American English,Indian English,ame2ind_S04,AME012,1089,1089-134686-0025,A GENTLE KICK FROM THE TALL BOY IN THE BENCH BEHIND URGED STEPHEN TO ASK A DIFFICULT QUESTION,ame2ind::AME012::r3_epoch06::telugufemale,r3_epoch06,telugufemale,4.3463326,south_asian,99.5438516139984,audio/ame2ind/sample_01_original.wav,audio/ame2ind/sample_01_phonos.wav,6.610,6.620,08844bfb979ce8240f332032a4b86bed89703dcdb0379087e9747db278eb60dd,49b4c5eb94c209df7a6a35d8c705ae3e37d7a5280e8d0a8e89904102d7bd5689
ame2ind,2,General American English,Indian English,ame2ind_S06,AME014,1284,1284-1180-0009,THEN THEY STARTED ON AGAIN AND TWO HOURS LATER CAME IN SIGHT OF THE HOUSE OF DOCTOR PIPT,ame2ind::AME014::r1_epoch13::Telu0088,r1_epoch13,Telu0088,4.2185564,south_asian,99.46742057800292,audio/ame2ind/sample_02_original.wav,audio/ame2ind/sample_02_phonos.wav,6.285,6.300,8e77c3802c363ee0d0acbbb5f579396b028d31edee1e06162abb800140425fa0,6035f383ab940792a1fa657e9a6a3f5ea6fc38d2b2558fbe8a228c99f9ae3e5e
ame2ind,3,General American English,Indian English,ame2ind_S05,AME026,2428,2428-83699-0007,I HAVE NEVER KNOWN A MADGE AND YET FROM MY BOYHOOD UPWARD I HAVE DESIRED TO MEET ONE,ame2ind::AME026::r6_epoch05::Telu0088,r6_epoch05,Telu0088,4.1930046,south_asian,96.21320366859436,audio/ame2ind/sample_03_original.wav,audio/ame2ind/sample_03_phonos.wav,5.710,5.720,4e7e2642d8f4dd4593fcafe4adc22024e6fd9ddab005f4deff0e41b1e94b665f,859727c0b79021b2d2028280c3c3f6c6a7fcb995250ee37b48ffc789c53c88de
ame2ind,4,General American English,Indian English,ame2ind_S03,AME009,1272,1272-141231-0026,BREATHING DEEPLY BRION SOFTLY SPOKE THE AUTO HYPNOTIC PHRASES THAT TRIGGERED THE PROCESS,ame2ind::AME009::r3_epoch06::telugufemale,r3_epoch06,telugufemale,4.106983,south_asian,99.33176040649414,audio/ame2ind/sample_04_original.wav,audio/ame2ind/sample_04_phonos.wav,6.635,6.640,4a2ddfdfd71a7d3acbb0e520a9d5c6f0f55bc6bff814ffe147ae9175a98fb625,839885f361991ca14836c47aaa678ac88ba7fedd97df44c902ec273bcbd3ad98
ame2ind,5,General American English,Indian English,ame2ind_S02,AME008,5694,5694-64029-0007,I SOON FOUND OUT THAT HE HAD CAUGHT SIGHT OF THE RELIEF ON THE ROAD AND WAS AFRAID TO SHOOT I QUICKLY MADE UP MY MIND,ame2ind::AME008::r1_epoch13::Telu0088,r1_epoch13,Telu0088,4.0210214,south_asian,97.68792986869812,audio/ame2ind/sample_05_original.wav,audio/ame2ind/sample_05_phonos.wav,6.585,6.600,7ba57c7f53560bacc99ae3cf19fcfefac8825f083b68464143a3acd09717fb60,38ab2f3ae762d38cfc3f0db817a41241d562c9a2728237d51ef8dec52c9f4e29
