qid,set_id,attribute,target_direction,target_text,question,clip_a,clip_b,clip_a_role,clip_b_role,correct_choice,source_trial_id,item_id,age_group,gender_group,decision_from_curation,selection_score
Q01,1,pitch,negative,lower-pitched,Which clip sounds lower-pitched?,audio/Q01_pitch_negative_AESRC__Chinese_G40755__G40755S1113_reference.wav,audio/Q01_pitch_negative_AESRC__Chinese_G40755__G40755S1113_edited.wav,reference,edited,B,0104_pitch_negative_AESRC__Chinese_G40755__G40755S1113,AESRC::Chinese_G40755::G40755S1113,senior_60s,female,selected,1.437606569731205
Q02,1,pitch,positive,higher-pitched,Which clip sounds higher-pitched?,audio/Q02_pitch_positive_AESRC__British_G00011__G00011S2318_reference.wav,audio/Q02_pitch_positive_AESRC__British_G00011__G00011S2318_edited.wav,reference,edited,B,0134_pitch_positive_AESRC__British_G00011__G00011S2318,AESRC::British_G00011::G00011S2318,young_20s,male,selected,1.6062663012317664
Q03,1,pitch,negative,lower-pitched,Which clip sounds lower-pitched?,audio/Q03_pitch_negative_GLOBE__train__S_017107__00046647_000011.v2.vad_reference.wav,audio/Q03_pitch_negative_GLOBE__train__S_017107__00046647_000011.v2.vad_edited.wav,reference,edited,B,0112_pitch_negative_GLOBE__train__S_017107__00046647_000011.v2.vad,GLOBE::train::S_017107::00046647_000011.v2.vad,young_20s,female,selected,1.4086127713052656
Q04,1,pitch,positive,higher-pitched,Which clip sounds higher-pitched?,audio/Q04_pitch_positive_AESRC__Portuguese_G00510__G00510S1048_edited.wav,audio/Q04_pitch_positive_AESRC__Portuguese_G00510__G00510S1048_reference.wav,edited,reference,A,0125_pitch_positive_AESRC__Portuguese_G00510__G00510S1048,AESRC::Portuguese_G00510::G00510S1048,mid_40s,male,selected,1.5888689859930345
Q05,2,pitch,negative,lower-pitched,Which clip sounds lower-pitched?,audio/Q05_pitch_negative_AESRC__Indian_G00826__G00826S1001_reference.wav,audio/Q05_pitch_negative_AESRC__Indian_G00826__G00826S1001_edited.wav,reference,edited,B,0113_pitch_negative_AESRC__Indian_G00826__G00826S1001,AESRC::Indian_G00826::G00826S1001,young_20s,female,selected,1.4077831955670215
Q06,2,pitch,positive,higher-pitched,Which clip sounds higher-pitched?,audio/Q06_pitch_positive_AESRC__Chinese_G00541__G00541S1039_reference.wav,audio/Q06_pitch_positive_AESRC__Chinese_G00541__G00541S1039_edited.wav,reference,edited,B,0120_pitch_positive_AESRC__Chinese_G00541__G00541S1039,AESRC::Chinese_G00541::G00541S1039,mid_40s,female,maybe,1.8442189558630415
Q07,2,pitch,negative,lower-pitched,Which clip sounds lower-pitched?,audio/Q07_pitch_negative_NaturalVoices__MSP-PODCAST_3791__MSP-PODCAST_3791_7_reference.wav,audio/Q07_pitch_negative_NaturalVoices__MSP-PODCAST_3791__MSP-PODCAST_3791_7_edited.wav,reference,edited,B,0114_pitch_negative_NaturalVoices__MSP-PODCAST_3791__MSP-PODCAST_3791_7,NaturalVoices::MSP-PODCAST_3791::MSP-PODCAST_3791_7,young_20s,female,selected,1.3967834224942246
Q08,2,pitch,positive,higher-pitched,Which clip sounds higher-pitched?,audio/Q08_pitch_positive_LibriTTS__1914__1914_121446_000038_000002_reference.wav,audio/Q08_pitch_positive_LibriTTS__1914__1914_121446_000038_000002_edited.wav,reference,edited,B,0128_pitch_positive_LibriTTS__1914__1914_121446_000038_000002,LibriTTS::1914::1914_121446_000038_000002,senior_60s,male,maybe,1.7547325847300659
Q09,3,pitch,negative,lower-pitched,Which clip sounds lower-pitched?,audio/Q09_pitch_negative_GLOBE__train__S_018921__00440904_000047.v2.vad_edited.wav,audio/Q09_pitch_negative_GLOBE__train__S_018921__00440904_000047.v2.vad_reference.wav,edited,reference,A,0115_pitch_negative_GLOBE__train__S_018921__00440904_000047.v2.vad,GLOBE::train::S_018921::00440904_000047.v2.vad,young_20s,female,selected,1.3669517090180658
Q10,3,pitch,positive,higher-pitched,Which clip sounds higher-pitched?,audio/Q10_pitch_positive_VoxCeleb1__train__id11094__lAABD8fznuw__00001_reference.wav,audio/Q10_pitch_positive_VoxCeleb1__train__id11094__lAABD8fznuw__00001_edited.wav,reference,edited,B,0122_pitch_positive_VoxCeleb1__train__id11094__lAABD8fznuw__00001,VoxCeleb1::train::id11094::lAABD8fznuw::00001,mid_40s,male,maybe,1.656846119287585
Q11,3,pitch,negative,lower-pitched,Which clip sounds lower-pitched?,audio/Q11_pitch_negative_LibriTTS__6227__6227_36632_000028_000000_reference.wav,audio/Q11_pitch_negative_LibriTTS__6227__6227_36632_000028_000000_edited.wav,reference,edited,B,0098_pitch_negative_LibriTTS__6227__6227_36632_000028_000000,LibriTTS::6227::6227_36632_000028_000000,mid_40s,female,selected,1.3086810297030933
Q12,3,pitch,positive,higher-pitched,Which clip sounds higher-pitched?,audio/Q12_pitch_positive_VoxCeleb1__train__id11199__tvfx-OlFisE__00018_edited.wav,audio/Q12_pitch_positive_VoxCeleb1__train__id11199__tvfx-OlFisE__00018_reference.wav,edited,reference,A,0123_pitch_positive_VoxCeleb1__train__id11199__tvfx-OlFisE__00018,VoxCeleb1::train::id11199::tvfx-OlFisE::00018,mid_40s,male,maybe,1.622638346462801
Q13,4,pitch,negative,lower-pitched,Which clip sounds lower-pitched?,audio/Q13_pitch_negative_GLOBE__train__S_005643__00361385_000003.v2.vad_edited.wav,audio/Q13_pitch_negative_GLOBE__train__S_005643__00361385_000003.v2.vad_reference.wav,edited,reference,A,0099_pitch_negative_GLOBE__train__S_005643__00361385_000003.v2.vad,GLOBE::train::S_005643::00361385_000003.v2.vad,mid_40s,female,selected,1.2726035323641103
Q14,4,pitch,positive,higher-pitched,Which clip sounds higher-pitched?,audio/Q14_pitch_positive_NaturalVoices__MSP-PODCAST_2686__MSP-PODCAST_2686_37_edited.wav,audio/Q14_pitch_positive_NaturalVoices__MSP-PODCAST_2686__MSP-PODCAST_2686_37_reference.wav,edited,reference,A,0124_pitch_positive_NaturalVoices__MSP-PODCAST_2686__MSP-PODCAST_2686_37,NaturalVoices::MSP-PODCAST_2686::MSP-PODCAST_2686_37,mid_40s,male,maybe,1.5989021028162913
Q15,4,pitch,negative,lower-pitched,Which clip sounds lower-pitched?,audio/Q15_pitch_negative_NaturalVoices__MSP-PODCAST_3920__MSP-PODCAST_3920_767_reference.wav,audio/Q15_pitch_negative_NaturalVoices__MSP-PODCAST_3920__MSP-PODCAST_3920_767_edited.wav,reference,edited,B,0105_pitch_negative_NaturalVoices__MSP-PODCAST_3920__MSP-PODCAST_3920_767,NaturalVoices::MSP-PODCAST_3920::MSP-PODCAST_3920_767,senior_60s,female,selected,1.2099947855364404
Q16,4,pitch,positive,higher-pitched,Which clip sounds higher-pitched?,audio/Q16_pitch_positive_LibriTTS__4425__4425_14497_000030_000002_edited.wav,audio/Q16_pitch_positive_LibriTTS__4425__4425_14497_000030_000002_reference.wav,edited,reference,A,0126_pitch_positive_LibriTTS__4425__4425_14497_000030_000002,LibriTTS::4425::4425_14497_000030_000002,mid_40s,male,maybe,1.5681688699519132
Q17,5,pitch,negative,lower-pitched,Which clip sounds lower-pitched?,audio/Q17_pitch_negative_LibriTTS__7097__7097_80037_000032_000000_reference.wav,audio/Q17_pitch_negative_LibriTTS__7097__7097_80037_000032_000000_edited.wav,reference,edited,B,0106_pitch_negative_LibriTTS__7097__7097_80037_000032_000000,LibriTTS::7097::7097_80037_000032_000000,senior_60s,female,selected,1.1267768359332608
Q18,5,pitch,positive,higher-pitched,Which clip sounds higher-pitched?,audio/Q18_pitch_positive_VoxCeleb1__train__id10011__QmFNWMU2hKU__00006_reference.wav,audio/Q18_pitch_positive_VoxCeleb1__train__id10011__QmFNWMU2hKU__00006_edited.wav,reference,edited,B,0131_pitch_positive_VoxCeleb1__train__id10011__QmFNWMU2hKU__00006,VoxCeleb1::train::id10011::QmFNWMU2hKU::00006,senior_60s,male,maybe,1.5518160369999539
Q19,5,pitch,negative,lower-pitched,Which clip sounds lower-pitched?,audio/Q19_pitch_negative_LibriTTS__203__203_132069_000005_000002_edited.wav,audio/Q19_pitch_negative_LibriTTS__203__203_132069_000005_000002_reference.wav,edited,reference,A,0107_pitch_negative_LibriTTS__203__203_132069_000005_000002,LibriTTS::203::203_132069_000005_000002,senior_60s,female,selected,1.0660924039938244
Q20,5,pitch,positive,higher-pitched,Which clip sounds higher-pitched?,audio/Q20_pitch_positive_GLOBE__train__S_012138__00480100_000001.v2.vad_reference.wav,audio/Q20_pitch_positive_GLOBE__train__S_012138__00480100_000001.v2.vad_edited.wav,reference,edited,B,0132_pitch_positive_GLOBE__train__S_012138__00480100_000001.v2.vad,GLOBE::train::S_012138::00480100_000001.v2.vad,senior_60s,male,maybe,1.551737161544252
